state	power	likelihood
2510	1	-200.754
2520	1	-197.95
2530	1	-198.551
2540	1	-197.725
2550	1	-198.046
2560	1	-198.742
2570	1	-197.701
2580	1	-197.813
2590	1	-197.342
2600	1	-204.832
2610	1	-198.615
2620	1	-198.531
2630	1	-197.479
2640	1	-199.842
2650	1	-199.931
2660	1	-197.465
2670	1	-199.394
2680	1	-199.931
2690	1	-200.791
2700	1	-197.638
2710	1	-197.513
2720	1	-198.146
2730	1	-197.754
2740	1	-197.79
2750	1	-198.483
2760	1	-198.827
2770	1	-197.619
2780	1	-200.773
2790	1	-199.971
2800	1	-198.846
2810	1	-199.312
2820	1	-199.096
2830	1	-198.111
2840	1	-198.382
2850	1	-197.855
2860	1	-198.093
2870	1	-199.477
2880	1	-198.376
2890	1	-199.41
2900	1	-198.379
2910	1	-197.505
2920	1	-200.83
2930	1	-198.517
2940	1	-198.048
2950	1	-197.72
2960	1	-200.988
2970	1	-197.968
2980	1	-197.776
2990	1	-197.724
3000	1	-202.205
3010	1	-198.335
3020	1	-198.626
3030	1	-197.871
3040	1	-199.589
3050	1	-199.103
3060	1	-198.599
3070	1	-197.676
3080	1	-200.616
3090	1	-198.703
3100	1	-198.949
3110	1	-198.572
3120	1	-197.822
3130	1	-198.537
3140	1	-200.719
3150	1	-198.225
3160	1	-197.996
3170	1	-200.003
3180	1	-198.828
3190	1	-198.401
3200	1	-199.673
3210	1	-199.96
3220	1	-198.273
3230	1	-198.751
3240	1	-199.014
3250	1	-199.262
3260	1	-200.181
3270	1	-197.838
3280	1	-198.589
3290	1	-199.48
3300	1	-199.056
3310	1	-197.558
3320	1	-198.042
3330	1	-198.962
3340	1	-197.725
3350	1	-200.272
3360	1	-198.987
3370	1	-199.038
3380	1	-198.585
3390	1	-199.113
3400	1	-198.357
3410	1	-201.184
3420	1	-198.991
3430	1	-200.248
3440	1	-198.155
3450	1	-198.259
3460	1	-198.044
3470	1	-198.24
3480	1	-199.55
3490	1	-200.264
3500	1	-199.002
3510	1	-199.555
3520	1	-197.461
3530	1	-199.351
3540	1	-198.033
3550	1	-199.061
3560	1	-198.238
3570	1	-200.127
3580	1	-197.971
3590	1	-197.382
3600	1	-200.136
3610	1	-200.47
3620	1	-197.633
3630	1	-199.174
3640	1	-198.195
3650	1	-200.542
3660	1	-198.19
3670	1	-199.318
3680	1	-198.724
3690	1	-199.184
3700	1	-198.311
3710	1	-197.58
3720	1	-198.513
3730	1	-199.957
3740	1	-198.104
3750	1	-203.036
3760	1	-198.713
3770	1	-200.99
3780	1	-198.04
3790	1	-199.17
3800	1	-197.676
3810	1	-198.022
3820	1	-200.351
3830	1	-198.217
3840	1	-197.528
3850	1	-198.907
3860	1	-200.279
3870	1	-199.839
3880	1	-199.457
3890	1	-198.581
3900	1	-198.782
3910	1	-197.377
3920	1	-200.551
3930	1	-197.906
3940	1	-198.994
3950	1	-198.16
3960	1	-198.401
3970	1	-198.47
3980	1	-198.706
3990	1	-201.294
4000	1	-197.774
4010	1	-198.14
4020	1	-199.46
4030	1	-198.51
4040	1	-198.054
4050	1	-197.939
4060	1	-199.714
4070	1	-198.725
4080	1	-198.89
4090	1	-198.635
4100	1	-198.289
4110	1	-198.495
4120	1	-197.831
4130	1	-203.55
4140	1	-200.28
4150	1	-199.682
4160	1	-199.806
4170	1	-198.061
4180	1	-199.21
4190	1	-198.672
4200	1	-198.382
4210	1	-197.447
4220	1	-198.427
4230	1	-200.14
4240	1	-199.966
4250	1	-200.716
4260	1	-197.674
4270	1	-198.449
4280	1	-197.886
4290	1	-198.695
4300	1	-199.25
4310	1	-201.336
4320	1	-199.716
