state	power	likelihood
2510	1	-200.881
2520	1	-198.463
2530	1	-199.22
2540	1	-198.89
2550	1	-198.825
2560	1	-198.339
2570	1	-197.984
2580	1	-197.731
2590	1	-200.296
2600	1	-197.936
2610	1	-200.483
2620	1	-198.744
2630	1	-199.28
2640	1	-197.425
2650	1	-198.462
2660	1	-198.419
2670	1	-197.956
2680	1	-198.591
2690	1	-198.809
2700	1	-197.912
2710	1	-199.051
2720	1	-198.143
2730	1	-198.61
2740	1	-198.256
2750	1	-197.86
2760	1	-200.798
2770	1	-200.108
2780	1	-198.484
2790	1	-198.506
2800	1	-200.771
2810	1	-197.829
2820	1	-197.639
2830	1	-198.455
2840	1	-198.789
2850	1	-199.759
2860	1	-199.374
2870	1	-197.932
2880	1	-198.035
2890	1	-199.646
2900	1	-198.818
2910	1	-197.333
2920	1	-199.158
2930	1	-197.723
2940	1	-198.738
2950	1	-200.274
2960	1	-198.831
2970	1	-197.986
2980	1	-198.275
2990	1	-199.361
3000	1	-199.48
3010	1	-199.273
3020	1	-203.802
3030	1	-198.021
3040	1	-199.399
3050	1	-199.075
3060	1	-197.924
3070	1	-198.392
3080	1	-198.04
3090	1	-197.894
3100	1	-200.675
3110	1	-198.549
3120	1	-198.077
3130	1	-200.175
3140	1	-198.454
3150	1	-198.525
3160	1	-199.664
3170	1	-199.322
3180	1	-200.736
3190	1	-198.37
3200	1	-198.55
3210	1	-197.868
3220	1	-198.4
3230	1	-199.612
3240	1	-199.338
3250	1	-198.245
3260	1	-198.373
3270	1	-199.507
3280	1	-197.937
3290	1	-198.528
3300	1	-198.437
3310	1	-198.702
3320	1	-200.016
3330	1	-198.094
3340	1	-199.561
3350	1	-198.454
3360	1	-198.153
3370	1	-199.939
3380	1	-198.679
3390	1	-198.725
3400	1	-199.901
3410	1	-202.425
3420	1	-197.537
3430	1	-198.748
3440	1	-197.628
3450	1	-198.501
3460	1	-198.277
3470	1	-200.458
3480	1	-198.458
3490	1	-198.524
3500	1	-197.64
3510	1	-199.833
3520	1	-198.852
3530	1	-197.913
3540	1	-198.286
3550	1	-198.795
3560	1	-198.153
3570	1	-198.094
3580	1	-197.872
3590	1	-198.585
3600	1	-198.113
3610	1	-200.221
3620	1	-198.186
3630	1	-197.569
3640	1	-199.365
3650	1	-199.645
3660	1	-198.507
3670	1	-198.36
3680	1	-197.442
3690	1	-198.586
3700	1	-197.572
3710	1	-197.791
3720	1	-198.388
3730	1	-198.095
3740	1	-199.02
3750	1	-197.332
3760	1	-197.51
3770	1	-197.662
3780	1	-198.282
3790	1	-199.344
3800	1	-198.044
3810	1	-201.652
3820	1	-197.964
3830	1	-200.977
3840	1	-198.612
3850	1	-198.835
3860	1	-199.86
3870	1	-198.564
3880	1	-198.099
3890	1	-200.381
3900	1	-197.856
3910	1	-199.483
3920	1	-199.531
3930	1	-198.217
3940	1	-198.164
3950	1	-199.089
3960	1	-197.737
3970	1	-197.526
3980	1	-199.871
3990	1	-200.86
4000	1	-198.466
4010	1	-198.484
4020	1	-199.614
4030	1	-198.008
4040	1	-198.758
4050	1	-199.197
4060	1	-199.613
4070	1	-200.204
4080	1	-198.656
4090	1	-197.83
4100	1	-198.191
4110	1	-200.07
4120	1	-197.825
4130	1	-198.162
4140	1	-197.682
4150	1	-198.082
4160	1	-197.894
4170	1	-198.152
4180	1	-200.35
4190	1	-198.814
4200	1	-201.283
4210	1	-200.88
4220	1	-199.384
4230	1	-198.784
4240	1	-198.293
4250	1	-201.026
4260	1	-199.069
4270	1	-198.066
4280	1	-197.952
4290	1	-198.129
4300	1	-197.322
4310	1	-199.015
4320	1	-198.172
4330	1	-199.805
4340	1	-197.476
4350	1	-199.19
4360	1	-197.666
4370	1	-197.82
4380	1	-199.688
4390	1	-197.514
4400	1	-199.508
4410	1	-198.665
4420	1	-198.384
4430	1	-202.571
4440	1	-199.42
4450	1	-200.482
4460	1	-198.267
4470	1	-199.486
4480	1	-199.571
4490	1	-197.6
4500	1	-199.588
4510	1	-199.139
4520	1	-199.703
4530	1	-197.595
4540	1	-199.116
4550	1	-197.382
4560	1	-198.157
4570	1	-199.253
4580	1	-198.682
4590	1	-197.754
4600	1	-200.645
4610	1	-200.145
4620	1	-198.973
4630	1	-198.592
4640	1	-197.522
4650	1	-200.052
4660	1	-198.239
4670	1	-198.392
4680	1	-198.704
4690	1	-198.841
4700	1	-198.159
4710	1	-198.475
4720	1	-198.359
4730	1	-201.039
4740	1	-198.664
4750	1	-198.073
4760	1	-199.572
4770	1	-199.492
4780	1	-200.344
4790	1	-198.364
4800	1	-197.88
4810	1	-198.816
4820	1	-199.601
4830	1	-198.196
4840	1	-197.897
4850	1	-199.554
4860	1	-198.594
