state	power	likelihood
2510	1	-215.99
2520	1	-215.553
2530	1	-218.556
2540	1	-217.291
2550	1	-215.874
2560	1	-217.535
2570	1	-218.065
2580	1	-216.008
2590	1	-216.15
2600	1	-215.819
2610	1	-215.467
2620	1	-215.682
2630	1	-216.765
2640	1	-216.823
2650	1	-215.814
2660	1	-217.77
2670	1	-216.267
2680	1	-220.068
2690	1	-217.718
2700	1	-215.797
2710	1	-219.592
2720	1	-215.629
2730	1	-217.149
2740	1	-217.286
2750	1	-216.76
2760	1	-215.165
2770	1	-216.78
2780	1	-216.186
2790	1	-217.075
2800	1	-216.175
2810	1	-215.427
2820	1	-217.106
2830	1	-216.566
2840	1	-216.615
2850	1	-217.692
2860	1	-218.292
2870	1	-216.922
2880	1	-217.121
2890	1	-216.596
2900	1	-215.847
2910	1	-215.978
2920	1	-216.418
2930	1	-217.092
2940	1	-216.932
2950	1	-218.628
2960	1	-215.412
2970	1	-218.049
2980	1	-217.012
2990	1	-215.975
3000	1	-217.363
3010	1	-217.754
3020	1	-215.97
3030	1	-217.802
3040	1	-216.318
3050	1	-216.58
3060	1	-215.52
3070	1	-215.539
3080	1	-215.718
3090	1	-216.596
3100	1	-216.997
3110	1	-215.767
3120	1	-219.795
3130	1	-215.848
3140	1	-217.932
3150	1	-218.003
3160	1	-215.29
3170	1	-217.998
3180	1	-217.588
3190	1	-217.482
3200	1	-216.359
3210	1	-215.841
3220	1	-216.453
3230	1	-217.284
3240	1	-215.807
3250	1	-216.132
3260	1	-216.671
3270	1	-215.288
3280	1	-215.89
3290	1	-216.528
3300	1	-215.332
3310	1	-217.005
3320	1	-216.715
3330	1	-216.33
3340	1	-216.246
3350	1	-216.74
3360	1	-216.116
3370	1	-215.393
3380	1	-217.835
3390	1	-216.842
3400	1	-216.54
3410	1	-215.942
3420	1	-215.902
3430	1	-216.314
3440	1	-218.071
3450	1	-215.477
3460	1	-217.675
3470	1	-215.437
3480	1	-217.048
3490	1	-215.285
3500	1	-216.876
3510	1	-219.211
3520	1	-216.684
3530	1	-218.023
3540	1	-217.943
3550	1	-215.778
3560	1	-216.901
3570	1	-215.592
3580	1	-216.19
3590	1	-217.258
3600	1	-217.717
3610	1	-216.984
3620	1	-218.317
3630	1	-216.223
3640	1	-215.845
3650	1	-215.602
3660	1	-216.552
3670	1	-216.105
3680	1	-216.825
3690	1	-215.929
3700	1	-216.514
3710	1	-215.492
3720	1	-217.413
3730	1	-215.252
3740	1	-216.711
3750	1	-217.585
3760	1	-215.858
3770	1	-216.506
3780	1	-217.446
3790	1	-218.857
3800	1	-217.778
3810	1	-217.657
3820	1	-218.271
3830	1	-215.852
3840	1	-217.576
3850	1	-216.034
3860	1	-216.493
3870	1	-215.915
3880	1	-215.764
3890	1	-217.499
3900	1	-217.484
3910	1	-216.676
3920	1	-216.57
3930	1	-215.906
3940	1	-217.45
3950	1	-219.082
3960	1	-216.056
3970	1	-219.527
3980	1	-216.235
3990	1	-215.491
4000	1	-216.877
4010	1	-217.173
4020	1	-217.921
4030	1	-216.265
4040	1	-217.262
4050	1	-216.14
4060	1	-216.505
4070	1	-215.812
4080	1	-217.78
4090	1	-217.25
4100	1	-217.047
4110	1	-216.532
4120	1	-216.432
4130	1	-219.019
4140	1	-215.452
4150	1	-217.04
4160	1	-217.452
4170	1	-215.741
4180	1	-217.622
4190	1	-216.336
4200	1	-215.94
4210	1	-215.703
4220	1	-218.005
4230	1	-216.489
4240	1	-216.62
4250	1	-215.695
4260	1	-215.378
4270	1	-217.714
4280	1	-216.261
4290	1	-216.236
4300	1	-216.985
4310	1	-219.803
4320	1	-216.43
4330	1	-215.27
4340	1	-216.95
4350	1	-216.593
4360	1	-215.997
4370	1	-217.322
4380	1	-216.581
4390	1	-217.251
4400	1	-216.279
4410	1	-216.621
4420	1	-218.09
4430	1	-215.39
4440	1	-216.311
4450	1	-215.572
4460	1	-219.699
4470	1	-215.733
4480	1	-216.62
4490	1	-216.999
4500	1	-216.639
4510	1	-223.725
4520	1	-215.71
4530	1	-218.032
4540	1	-215.847
4550	1	-215.425
4560	1	-216
4570	1	-216.82
4580	1	-218.773
4590	1	-216.212
4600	1	-215.752
4610	1	-216.582
4620	1	-217.466
4630	1	-216.52
4640	1	-215.65
4650	1	-217.752
4660	1	-219.278
4670	1	-216.382
4680	1	-215.531
4690	1	-215.869
4700	1	-216.143
4710	1	-217.288
4720	1	-215.945
4730	1	-215.79
4740	1	-216.293
4750	1	-218.052
4760	1	-215.949
4770	1	-216.197
4780	1	-217.091
4790	1	-216.855
4800	1	-216.029
4810	1	-217.119
4820	1	-216.317
4830	1	-217.302
4840	1	-219.893
4850	1	-216.907
4860	1	-216.591
4870	1	-215.914
4880	1	-217.82
4890	1	-216.452
4900	1	-217.358
4910	1	-215.618
4920	1	-216.148
4930	1	-215.616
4940	1	-216.295
4950	1	-215.448
4960	1	-218.675
4970	1	-216.322
4980	1	-216.54
4990	1	-216.463
5000	1	-216.477
5010	1	-216.871
5020	1	-216.821
5030	1	-217.312
5040	1	-217.952
5050	1	-217.607
5060	1	-216.485
5070	1	-217.936
5080	1	-217.286
5090	1	-216.795
5100	1	-215.975
5110	1	-215.57
5120	1	-217.062
5130	1	-216.353
5140	1	-216.687
5150	1	-216.043
5160	1	-218.212
5170	1	-215.819
5180	1	-217.888
5190	1	-219.036
5200	1	-215.347
5210	1	-215.378
5220	1	-217.335
5230	1	-219.211
5240	1	-216.673
5250	1	-215.218
5260	1	-215.15
5270	1	-216.938
5280	1	-217.711
5290	1	-216.837
5300	1	-216.978
5310	1	-216.025
5320	1	-217.523
5330	1	-216.577
5340	1	-216.49
5350	1	-218.897
5360	1	-217.991
5370	1	-215.826
5380	1	-215.322
5390	1	-215.852
5400	1	-216.259
5410	1	-215.267
5420	1	-215.836
5430	1	-216.907
5440	1	-216.936
5450	1	-217.575
5460	1	-218.004
5470	1	-217.333
5480	1	-217.509
5490	1	-215.151
5500	1	-216.96
5510	1	-216.276
5520	1	-216.794
5530	1	-218.12
5540	1	-216.08
5550	1	-217.351
5560	1	-217.851
5570	1	-216.313
5580	1	-215.104
5590	1	-216.858
5600	1	-217.125
5610	1	-215.749
5620	1	-216.205
5630	1	-218.63
5640	1	-216.708
5650	1	-217.871
5660	1	-216.808
5670	1	-216.508
5680	1	-217.984
5690	1	-215.944
5700	1	-216.72
5710	1	-216.601
5720	1	-215.89
5730	1	-215.281
5740	1	-215.857
5750	1	-216.774
5760	1	-216.552
5770	1	-217.329
5780	1	-217.27
5790	1	-216.822
5800	1	-215.517
5810	1	-216.036
5820	1	-217.03
5830	1	-216.867
5840	1	-220.575
5850	1	-219.463
5860	1	-215.854
5870	1	-217.758
5880	1	-216.181
5890	1	-217.115
5900	1	-215.984
5910	1	-215.786
5920	1	-215.513
5930	1	-217.296
5940	1	-216.294
5950	1	-217.285
5960	1	-215.528
5970	1	-217.143
5980	1	-216.143
5990	1	-216.577
6000	1	-217.606
6010	1	-215.736
6020	1	-215.645
6030	1	-216.261
6040	1	-216.95
6050	1	-215.921
6060	1	-216.993
6070	1	-216.484
6080	1	-216.654
6090	1	-217.69
6100	1	-216.291
6110	1	-215.846
6120	1	-216.425
6130	1	-216.155
6140	1	-217.756
6150	1	-215.616
6160	1	-216.558
6170	1	-217.755
6180	1	-216.555
6190	1	-215.326
6200	1	-217.028
6210	1	-217.018
6220	1	-216.307
6230	1	-216.192
6240	1	-216.713
6250	1	-217.313
6260	1	-217.567
6270	1	-216.178
6280	1	-215.246
6290	1	-216.564
6300	1	-215.863
6310	1	-217.1
6320	1	-216.158
6330	1	-219.004
6340	1	-215.904
6350	1	-217.103
6360	1	-216.253
6370	1	-216.628
6380	1	-215.804
6390	1	-215.813
6400	1	-218.824
6410	1	-218.585
6420	1	-217.225
6430	1	-216.352
6440	1	-216.017
6450	1	-218.078
6460	1	-216.907
6470	1	-217.533
6480	1	-219.162
6490	1	-217.149
6500	1	-217.219
6510	1	-218.315
6520	1	-218.63
6530	1	-216.39
6540	1	-218.419
6550	1	-219.576
6560	1	-217.665
6570	1	-217.03
6580	1	-216.752
6590	1	-217.786
6600	1	-216.857
6610	1	-216.692
6620	1	-216.225
6630	1	-216.581
6640	1	-215.594
6650	1	-215.727
6660	1	-215.181
6670	1	-216.694
6680	1	-215.913
6690	1	-215.788
6700	1	-221.693
6710	1	-216.823
6720	1	-216.957
6730	1	-214.993
6740	1	-215.191
6750	1	-218.756
6760	1	-216.727
6770	1	-219.053
6780	1	-215.691
6790	1	-215.974
6800	1	-219.758
6810	1	-218.239
6820	1	-219.05
6830	1	-217.997
6840	1	-216.381
6850	1	-219.606
6860	1	-216.525
6870	1	-216.146
6880	1	-215.235
6890	1	-217.175
6900	1	-217.616
6910	1	-216.758
6920	1	-218.423
6930	1	-215.55
6940	1	-217.292
6950	1	-215.097
6960	1	-217.624
6970	1	-216.733
6980	1	-218.954
6990	1	-218.922
7000	1	-217.721
7010	1	-217.055
7020	1	-217.574
7030	1	-217.121
7040	1	-217.628
7050	1	-216.151
7060	1	-216.553
7070	1	-215.794
7080	1	-218.804
7090	1	-219.684
7100	1	-215.781
7110	1	-217.875
7120	1	-216.581
7130	1	-216.768
7140	1	-215.799
7150	1	-216.816
7160	1	-216.669
7170	1	-216.366
7180	1	-217.286
7190	1	-216.872
7200	1	-216.879
7210	1	-216.162
7220	1	-217.223
7230	1	-216.935
7240	1	-216.626
7250	1	-218.949
7260	1	-216.399
7270	1	-217.19
7280	1	-220.925
7290	1	-215.127
7300	1	-216.129
7310	1	-217.85
7320	1	-215.834
7330	1	-215.986
7340	1	-217.067
7350	1	-216.466
7360	1	-218.155
7370	1	-217.807
7380	1	-216.277
7390	1	-215.714
7400	1	-216.947
7410	1	-217.714
7420	1	-215.627
7430	1	-216.985
7440	1	-216.29
7450	1	-216.249
7460	1	-216.678
7470	1	-216.277
7480	1	-216.433
7490	1	-217.504
7500	1	-218.335
7510	1	-218.143
7520	1	-217.307
7530	1	-217.074
7540	1	-216.121
7550	1	-218.264
7560	1	-217.112
7570	1	-216.664
7580	1	-216.9
7590	1	-216.223
7600	1	-217.677
7610	1	-215.372
7620	1	-216.117
7630	1	-215.845
7640	1	-217.279
7650	1	-218.259
7660	1	-216.435
7670	1	-217.742
7680	1	-215.612
7690	1	-217.543
7700	1	-215.491
7710	1	-217.805
7720	1	-217.569
7730	1	-215.919
7740	1	-217.405
7750	1	-218.241
7760	1	-217.75
7770	1	-220.177
7780	1	-220.722
7790	1	-217.104
7800	1	-216.546
7810	1	-215.262
7820	1	-216.246
7830	1	-216.68
7840	1	-216.242
7850	1	-215.189
7860	1	-215.866
7870	1	-216.399
7880	1	-215.176
7890	1	-215.648
7900	1	-217.463
7910	1	-215.988
7920	1	-221.981
7930	1	-215.877
7940	1	-217.63
7950	1	-217.718
7960	1	-216.038
7970	1	-217.381
7980	1	-217.601
7990	1	-216.222
8000	1	-215.762
8010	1	-220.539
8020	1	-217.671
8030	1	-218.571
8040	1	-215.648
8050	1	-216.331
8060	1	-217.244
8070	1	-217.598
8080	1	-217.286
8090	1	-217.457
8100	1	-217.678
8110	1	-216.022
8120	1	-220.63
8130	1	-216.514
8140	1	-217.456
8150	1	-215.954
8160	1	-216.432
8170	1	-215.772
8180	1	-216.959
8190	1	-215.937
8200	1	-216.762
8210	1	-215.879
8220	1	-216.623
8230	1	-218.65
8240	1	-215.958
8250	1	-215.879
8260	1	-215.482
8270	1	-218.548
8280	1	-217.143
8290	1	-216.464
8300	1	-217.527
8310	1	-216.665
8320	1	-219.968
8330	1	-216.59
8340	1	-218.095
8350	1	-216.786
8360	1	-216.364
8370	1	-219.15
8380	1	-216.969
8390	1	-216.962
8400	1	-218.074
8410	1	-217.377
8420	1	-215.434
8430	1	-215.657
8440	1	-216.135
8450	1	-216.523
8460	1	-218.322
8470	1	-217.528
8480	1	-218.412
8490	1	-216.882
8500	1	-219.284
8510	1	-215.718
8520	1	-216.352
8530	1	-216.066
8540	1	-216.068
8550	1	-216.813
8560	1	-218.191
8570	1	-215.249
8580	1	-215.971
8590	1	-217.762
8600	1	-216.851
8610	1	-218.863
8620	1	-216.166
8630	1	-218.822
8640	1	-217.653
8650	1	-215.596
8660	1	-215.813
8670	1	-220.076
8680	1	-217.361
8690	1	-215.598
8700	1	-216.16
8710	1	-218.16
8720	1	-215.643
8730	1	-217.165
8740	1	-217.73
8750	1	-216.6
8760	1	-216.763
8770	1	-215.753
8780	1	-216.485
8790	1	-216.685
8800	1	-216.639
8810	1	-217.859
8820	1	-215.861
8830	1	-217.182
8840	1	-215.866
8850	1	-215.867
8860	1	-216.521
8870	1	-216.144
8880	1	-215.79
8890	1	-216.582
8900	1	-223.114
8910	1	-216.464
8920	1	-218.046
8930	1	-215.868
8940	1	-224.606
8950	1	-216.659
8960	1	-216.45
8970	1	-215.54
8980	1	-219.902
8990	1	-218.845
9000	1	-220.196
9010	1	-217.313
9020	1	-216.222
9030	1	-216.542
9040	1	-215.85
9050	1	-216.324
9060	1	-215.625
9070	1	-219.337
9080	1	-215.458
9090	1	-217.586
9100	1	-216.383
9110	1	-216.644
9120	1	-216.149
9130	1	-218.767
9140	1	-219.405
9150	1	-215.365
9160	1	-216.651
9170	1	-216.279
9180	1	-216.508
9190	1	-217.753
9200	1	-216.19
9210	1	-217.446
9220	1	-215.755
9230	1	-217.141
9240	1	-215.944
9250	1	-216.666
9260	1	-216.645
9270	1	-215.961
9280	1	-215.958
9290	1	-217.45
9300	1	-216.066
9310	1	-217.302
9320	1	-215.699
9330	1	-216.8
9340	1	-216.826
9350	1	-216.436
9360	1	-217.405
9370	1	-216.734
9380	1	-216.378
9390	1	-217.52
9400	1	-216.375
9410	1	-215.779
9420	1	-218.749
9430	1	-215.697
9440	1	-216.827
9450	1	-217.358
9460	1	-218.039
9470	1	-215.676
9480	1	-217.715
9490	1	-219.789
9500	1	-217.682
