state	power	likelihood
2510	1	-216.72
2520	1	-216.528
2530	1	-215.823
2540	1	-217.301
2550	1	-220.182
2560	1	-216.386
2570	1	-216.342
2580	1	-217.221
2590	1	-218.246
2600	1	-217.798
2610	1	-217.022
2620	1	-217.461
2630	1	-216.625
2640	1	-216.535
2650	1	-217.605
2660	1	-217.24
2670	1	-215.803
2680	1	-216.675
2690	1	-216.39
2700	1	-216.27
2710	1	-217.387
2720	1	-216.86
2730	1	-216.137
2740	1	-218.071
2750	1	-218.064
2760	1	-215.699
2770	1	-218.096
2780	1	-217.937
2790	1	-215.59
2800	1	-215.389
2810	1	-215.855
2820	1	-216.628
2830	1	-218.33
2840	1	-215.737
2850	1	-218.047
2860	1	-217.271
2870	1	-217.552
2880	1	-217.663
2890	1	-217.512
2900	1	-219.211
2910	1	-214.97
2920	1	-216.458
2930	1	-215.359
2940	1	-215.725
2950	1	-217.985
2960	1	-218.674
2970	1	-216.455
2980	1	-216.914
2990	1	-216.976
3000	1	-217.416
3010	1	-217.286
3020	1	-223.691
3030	1	-216.206
3040	1	-217.947
3050	1	-216.694
3060	1	-216.368
3070	1	-215.777
3080	1	-215.932
3090	1	-216.126
3100	1	-215.966
3110	1	-216.672
3120	1	-216.187
3130	1	-218.579
3140	1	-217.396
3150	1	-217.184
3160	1	-216.888
3170	1	-215.285
3180	1	-215.621
3190	1	-216.7
3200	1	-217.436
3210	1	-220.987
3220	1	-217.101
3230	1	-218.767
3240	1	-217.711
3250	1	-216.532
3260	1	-218.125
3270	1	-218.34
3280	1	-217.006
3290	1	-215.596
3300	1	-216.035
3310	1	-216.977
3320	1	-216.505
3330	1	-215.711
3340	1	-215.286
3350	1	-216.36
3360	1	-216.393
3370	1	-215.918
3380	1	-216.011
3390	1	-216.482
3400	1	-216.468
3410	1	-217.239
3420	1	-217.719
3430	1	-215.02
3440	1	-215.762
3450	1	-217.399
3460	1	-219.136
3470	1	-215.323
3480	1	-216.177
3490	1	-216.268
3500	1	-215.656
3510	1	-215.984
3520	1	-216.595
3530	1	-219.441
3540	1	-217.689
3550	1	-215.531
3560	1	-217.054
3570	1	-217.412
3580	1	-218.384
3590	1	-216.714
3600	1	-216.77
3610	1	-217.247
3620	1	-217.042
3630	1	-218.864
3640	1	-215.775
3650	1	-218.427
3660	1	-215.621
3670	1	-216.978
3680	1	-217.405
3690	1	-215.352
3700	1	-217.36
3710	1	-215.999
3720	1	-217.56
3730	1	-217.19
3740	1	-216.098
3750	1	-216.679
3760	1	-215.574
3770	1	-215.376
3780	1	-220.16
3790	1	-216.878
3800	1	-218.121
3810	1	-215.848
3820	1	-216.538
3830	1	-218.027
3840	1	-216.008
3850	1	-217.072
3860	1	-216.22
3870	1	-217.493
3880	1	-217.516
3890	1	-217.603
3900	1	-216.014
3910	1	-219.49
3920	1	-216.868
3930	1	-217.413
3940	1	-217.984
3950	1	-216.413
3960	1	-216.331
3970	1	-217.114
3980	1	-217.545
3990	1	-216.902
4000	1	-215.906
4010	1	-215.748
4020	1	-215.606
4030	1	-216.361
4040	1	-215.809
4050	1	-215.528
4060	1	-217.61
4070	1	-218.196
4080	1	-220.721
4090	1	-215.21
4100	1	-217.323
4110	1	-215.131
4120	1	-217.817
4130	1	-217.286
4140	1	-216.645
4150	1	-218.301
4160	1	-215.394
4170	1	-216.022
4180	1	-217.85
4190	1	-216.379
4200	1	-219.249
4210	1	-216.02
4220	1	-217.315
4230	1	-215.043
4240	1	-217.67
4250	1	-215.55
4260	1	-215.974
4270	1	-216.636
4280	1	-216.469
4290	1	-216.549
4300	1	-215.449
4310	1	-217.3
4320	1	-216.706
4330	1	-216.536
4340	1	-216.324
4350	1	-217.937
4360	1	-217.355
4370	1	-216.877
4380	1	-216.822
4390	1	-216.386
4400	1	-215.877
4410	1	-218.74
4420	1	-215.344
4430	1	-216.237
4440	1	-217.432
4450	1	-215.184
4460	1	-216.537
4470	1	-216.989
4480	1	-216.152
4490	1	-217.455
4500	1	-217.668
4510	1	-216.877
4520	1	-215.935
4530	1	-215.248
4540	1	-215.503
4550	1	-216.769
4560	1	-217.37
4570	1	-216.648
4580	1	-217.805
4590	1	-215.52
4600	1	-217.441
4610	1	-220.643
4620	1	-217.139
4630	1	-216.703
4640	1	-216.791
4650	1	-217.363
4660	1	-215.231
4670	1	-217.064
4680	1	-215.714
4690	1	-215.843
4700	1	-215.775
4710	1	-215.543
4720	1	-218.526
4730	1	-215.712
4740	1	-217.167
