state	power	likelihood
2510	1	-216.851
2520	1	-219.553
2530	1	-217.573
2540	1	-215.968
2550	1	-218.12
2560	1	-215.424
2570	1	-215.293
2580	1	-216.592
2590	1	-215.756
2600	1	-217.678
2610	1	-216.045
2620	1	-216.909
2630	1	-215.568
2640	1	-217.629
2650	1	-216.977
2660	1	-216.468
2670	1	-215.592
2680	1	-216.288
2690	1	-215.854
2700	1	-216.086
2710	1	-217.397
2720	1	-216.718
2730	1	-215.332
2740	1	-216.102
2750	1	-216.344
2760	1	-215.405
2770	1	-215.583
2780	1	-216.459
2790	1	-217.787
2800	1	-216.345
2810	1	-215.709
2820	1	-216.858
2830	1	-216.413
2840	1	-216.123
2850	1	-216.469
2860	1	-216.679
2870	1	-215.833
2880	1	-216.236
2890	1	-217.423
2900	1	-217.657
2910	1	-217.404
2920	1	-216.218
2930	1	-215.14
2940	1	-215.029
2950	1	-218.142
2960	1	-217.207
2970	1	-217.481
2980	1	-218.961
2990	1	-217.751
3000	1	-215.433
3010	1	-216.92
3020	1	-216.549
3030	1	-215.617
3040	1	-216.607
3050	1	-218.759
3060	1	-217.204
3070	1	-216.952
3080	1	-215.87
3090	1	-216.378
3100	1	-217.726
3110	1	-217.024
3120	1	-216.874
3130	1	-216.639
3140	1	-216.538
3150	1	-216.376
3160	1	-216.332
3170	1	-218.189
3180	1	-217.616
3190	1	-215.113
3200	1	-216.001
3210	1	-215.957
3220	1	-216.875
3230	1	-216.967
3240	1	-216.052
3250	1	-217.253
3260	1	-216.988
3270	1	-216.091
3280	1	-216.982
3290	1	-216.575
3300	1	-217.11
3310	1	-217.965
3320	1	-216.302
3330	1	-220.775
3340	1	-215.931
3350	1	-215.106
3360	1	-218.991
3370	1	-215.776
3380	1	-215.408
3390	1	-218.34
3400	1	-216.857
3410	1	-217.004
3420	1	-216.742
3430	1	-216.059
3440	1	-223.351
3450	1	-215.709
3460	1	-215.931
3470	1	-216.723
3480	1	-217.916
3490	1	-217.207
3500	1	-215.483
3510	1	-217.039
3520	1	-216.344
3530	1	-219.637
